geo_scope,charge_level,pricing,venue,sessions,evse_count,median_total_hours,mean_total_hours,median_charge_hours,median_energy_kwh,mean_energy_kwh,median_kw
Other Midwest,L2,Undesignated,Fleet,46222,1042,18.65277777777778,43.752580158144696,2.999305555555556,8.811499999999999,11.392155592237458,3.1444337014936545
Other Midwest,DCFC,Paid,Undesignated,45677,992,0.5623611111111111,0.7105395696655997,0.5468055555555555,19.313,22.656575882039625,36.568263566079466
Other Midwest,L2,Paid,Medical or Educational Campus,44338,1009,2.7373611111111114,3.8874317457622585,2.037638888888889,8.5688405,12.96343949344264,5.025490819999689
Other Midwest,L2,Free,Municipal Building,41045,546,2.333888888888889,4.695858485845528,1.856875,6.979444749999999,11.644939973005236,4.343722121660717
Other US,L2,Paid,Leisure Destination,39583,740,1.7236111111111112,3.047281162592303,1.578125,7.53283675,12.085347226517582,5.8610249143754904
Chicago metro,L2,Paid,Multi-Unit Dwelling,35692,381,4.070069444444444,7.525945714919828,3.4166666666666665,17.68619625,21.968900413578478,5.903190988612231
Other US,L2,Undesignated,Hotel,34648,972,3.5356944444444443,6.512739451389735,2.513472222222222,11.6215,18.451935355720316,5.741852151717676
Other US,L2,Free,Undesignated,29388,419,2.035555555555556,5.662244071922187,1.6443055555555555,7.091778999999999,12.600377509495507,5.845012987012994
Other US,L2,Paid,Fleet,25831,628,4.248055555555555,14.955397085841712,2.1063888888888886,9.253042,12.960361738120596,4.713409594095943
Other US,L2,Paid,Hotel,23308,521,2.6973611111111113,5.175760877220308,2.135555555555555,10.7825585,16.59287116225917,5.804621175124075
Other US,L2,Undesignated,Single Family Residential,23252,443,7.553680555555555,8.062518639204734,1.8325694444444443,9.194,12.395930329706724,6.119696193256872
Other US,DCFC,Undesignated,Undesignated,23243,263,0.6552777777777778,2.4347771125015836,0.6345833333333333,18.24299925,29.534445927940794,29.067309080810887
Chicago metro,L2,Free,Multi-Unit Dwelling,22881,237,9.598611111111111,12.146375432053548,3.2380555555555555,16.0377035,21.233924995874794,5.955693015909963
Other Midwest,L2,Free,Fleet,22576,819,17.412777777777777,35.018511187022,3.973333333333333,13.8966,19.072828504537007,3.7853414329517636
Other Midwest,L2,Paid,Leisure Destination,21196,464,1.3433333333333333,2.476220906994164,1.2084027777777777,6.278802,10.108625806283145,6.077572570796509
Other Midwest,L2,Free,Multi-Unit Dwelling,20572,346,9.841111111111111,12.308030428404644,3.1819444444444445,16.597834,21.918866911814636,5.953054030059965
Other Midwest,L2,Undesignated,Business Office,19850,281,4.320833333333334,6.232263211207435,2.4044444444444446,8.835799999999999,12.94862733313582,4.208510761283879
Other US,L2,Undesignated,Transit Facility,19303,276,2.621111111111111,4.990977557546793,2.165,11.66875,16.419798533654475,5.9356207281181526
Other Midwest,L2,Paid,Municipal Building,17861,423,1.9454166666666668,4.6762352239142215,1.7638888888888888,8.903658,14.30090549154343,6.076141396046436
Other US,L2,Paid,Transit Facility,15821,277,3.6887499999999998,5.4273077269083085,2.6204166666666664,11.707703,17.36142908870098,5.632982125042813
Other US,L2,Paid,Undesignated,15121,499,2.2088888888888887,4.839663588729969,2.0145833333333334,10.445141,16.3223463894737,6.1761061563254955
Other Midwest,DCFC,Free,Corridor,12169,292,0.6050694444444444,1.1471686389669902,0.5864583333333333,21.533250000000002,24.090928037648478,35.11454513635894
Other Midwest,L2,Undesignated,Medical or Educational Campus,11853,223,3.224722222222222,7.457026553905527,2.1175,8.7225,15.771450211172619,5.239536187019642
Chicago metro,L2,Free,Multi-use Parking Garage/Lot,11582,86,9.254583333333333,14.692815913339675,3.975902777777778,15.866276500000001,20.702640291557316,4.126764211033878
Other Midwest,L2,Free,Leisure Destination,11356,125,2.377083333333333,3.7120811930142192,1.9244444444444446,9.461835,14.212764009569565,5.905235390452093
Other US,L2,Paid,Single Family Residential,8123,163,3.612013888888889,5.963690927563711,2.5159722222222225,12.895716,19.408323604467384,6.000509828261739
