evse_id,metro_area,land_use,region,num_ports,charge_level,venue,pricing,geo_scope,is_chicago,is_midwest
30158,"Providence-Warwick, RI-MA Metro Area",Metro Area,New England,1,DCFC,Corridor,Free,Other US,False,False
30051,"Providence-Warwick, RI-MA Metro Area",Metro Area,New England,1,DCFC,Undesignated,Free,Other US,False,False
41010,"Boston-Cambridge-Newton, MA-NH Metro Area",Metro Area,New England,1,DCFC,Undesignated,Paid,Other US,False,False
41204,"Boston-Cambridge-Newton, MA-NH Metro Area",Metro Area,New England,1,DCFC,Undesignated,Paid,Other US,False,False
1758,"Seattle-Tacoma-Bellevue, WA Metro Area",Metro Area,Pacific,1,DCFC,Undesignated,Paid,Other US,False,False
1854,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,Other US,False,False
1855,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",Metro Area,Pacific,1,DCFC,Undesignated,Free,Other US,False,False
1861,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",Metro Area,Pacific,1,DCFC,Undesignated,Free,Other US,False,False
1868,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",Metro Area,Pacific,1,DCFC,Undesignated,Free,Other US,False,False
1900,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,Other US,False,False
1748,"Seattle-Tacoma-Bellevue, WA Metro Area",Metro Area,Pacific,1,DCFC,Undesignated,Paid,Other US,False,False
1648,"Seattle-Tacoma-Bellevue, WA Metro Area",Metro Area,Pacific,1,DCFC,Undesignated,Paid,Other US,False,False
1762,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",Metro Area,Pacific,1,DCFC,Corridor,Paid,Other US,False,False
1398,"Seattle-Tacoma-Bellevue, WA Metro Area",Metro Area,Pacific,1,DCFC,Undesignated,Paid,Other US,False,False
1524,"Seattle-Tacoma-Bellevue, WA Metro Area",Metro Area,Pacific,1,DCFC,Undesignated,Undesignated,Other US,False,False
1239,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid,Other US,False,False
14093,"Seattle-Tacoma-Bellevue, WA Metro Area",Metro Area,Pacific,1,DCFC,Undesignated,Free,Other US,False,False
14086,"Seattle-Tacoma-Bellevue, WA Metro Area",Metro Area,Pacific,1,DCFC,Undesignated,Paid,Other US,False,False
14046,"Seattle-Tacoma-Bellevue, WA Metro Area",Metro Area,Pacific,1,DCFC,Undesignated,Free,Other US,False,False
14019,"Seattle-Tacoma-Bellevue, WA Metro Area",Metro Area,Pacific,1,DCFC,Undesignated,Free,Other US,False,False
14025,"Seattle-Tacoma-Bellevue, WA Metro Area",Metro Area,Pacific,1,DCFC,Undesignated,Paid,Other US,False,False
18892,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,Other US,False,False
18895,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Metro Area,Pacific,1,DCFC,Undesignated,Paid,Other US,False,False
18901,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,Other US,False,False
18871,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,Other US,False,False
18879,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Undesignated,Other US,False,False
18882,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free,Other US,False,False
18883,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid,Other US,False,False
18888,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Undesignated,Other US,False,False
18908,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Undesignated,Other US,False,False
18911,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Undesignated,Other US,False,False
18916,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid,Other US,False,False
18925,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid,Other US,False,False
18926,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid,Other US,False,False
18927,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid,Other US,False,False
18928,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid,Other US,False,False
18929,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,Other US,False,False
18931,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid,Other US,False,False
18932,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Metro Area,Pacific,1,DCFC,Undesignated,Paid,Other US,False,False
18923,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free,Other US,False,False
18935,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Undesignated,Other US,False,False
18936,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid,Other US,False,False
18940,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Metro Area,Pacific,1,DCFC,Undesignated,Free,Other US,False,False
18938,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid,Other US,False,False
18946,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid,Other US,False,False
18947,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,Other US,False,False
18948,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free,Other US,False,False
18952,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,Other US,False,False
18953,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,Other US,False,False
18954,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,Other US,False,False
18950,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid,Other US,False,False
18957,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,Other US,False,False
18958,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,Other US,False,False
18963,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid,Other US,False,False
18960,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid,Other US,False,False
18967,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Metro Area,Pacific,1,DCFC,Undesignated,Paid,Other US,False,False
18970,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free,Other US,False,False
18972,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Undesignated,Other US,False,False
18980,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Metro Area,Pacific,1,DCFC,Undesignated,Undesignated,Other US,False,False
18981,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid,Other US,False,False
18982,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,Other US,False,False
18983,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free,Other US,False,False
18984,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free,Other US,False,False
18976,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free,Other US,False,False
18977,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free,Other US,False,False
18978,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free,Other US,False,False
18777,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,Other US,False,False
18789,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,Other US,False,False
18790,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid,Other US,False,False
18770,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,Other US,False,False
18771,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid,Other US,False,False
18798,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,Other US,False,False
18804,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid,Other US,False,False
18800,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,Other US,False,False
18810,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Metro Area,Pacific,1,DCFC,Undesignated,Paid,Other US,False,False
18722,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid,Other US,False,False
18723,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,Other US,False,False
18734,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Metro Area,Pacific,1,DCFC,Corridor,Paid,Other US,False,False
18741,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Metro Area,Pacific,1,DCFC,Undesignated,Free,Other US,False,False
18750,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,Other US,False,False
18754,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid,Other US,False,False
18762,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Metro Area,Pacific,1,DCFC,Corridor,Paid,Other US,False,False
18758,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Metro Area,Pacific,1,DCFC,Corridor,Paid,Other US,False,False
18759,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid,Other US,False,False
18767,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,Other US,False,False
18821,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid,Other US,False,False
18826,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,Other US,False,False
18834,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free,Other US,False,False
18835,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free,Other US,False,False
18838,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,Other US,False,False
18841,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Undesignated,Other US,False,False
18843,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Metro Area,Pacific,1,DCFC,Undesignated,Paid,Other US,False,False
18851,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Metro Area,Pacific,1,DCFC,Corridor,Paid,Other US,False,False
18857,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Undesignated,Other US,False,False
18863,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free,Other US,False,False
18864,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Undesignated,Other US,False,False
18867,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free,Other US,False,False
18868,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid,Other US,False,False
18997,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid,Other US,False,False
18992,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,Other US,False,False
18994,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid,Other US,False,False
18995,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid,Other US,False,False
19002,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid,Other US,False,False
19004,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Undesignated,Other US,False,False
19006,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid,Other US,False,False
19007,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Undesignated,Other US,False,False
19009,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,Other US,False,False
19019,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free,Other US,False,False
19012,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Undesignated,Other US,False,False
19015,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Undesignated,Other US,False,False
18660,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,Other US,False,False
18669,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid,Other US,False,False
18670,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,Other US,False,False
18674,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,Other US,False,False
18678,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,Other US,False,False
