geo_scope,charge_level,start_hour,is_weekend,sessions,median_duration
Other US,L2,13,False,345260,2.8530555555555557
Other US,L2,13,True,136842,2.549166666666667
Other US,L2,14,False,320367,2.660138888888889
Other US,L2,14,True,135614,2.6261111111111113
Other US,L2,15,False,356535,2.75125
Other US,L2,15,True,136383,2.9266666666666667
Other US,L2,16,False,389846,3.247777777777778
Other US,L2,16,True,138211,3.448888888888889
Other US,L2,17,False,449204,4.436944444444445
Other US,L2,17,True,138640,4.581388888888889
Other US,L2,18,False,413728,11.029444444444444
Other US,L2,18,True,130570,10.95125
Other US,L2,19,False,339810,11.430277777777778
Other US,L2,19,True,132872,11.94875
Other US,L2,20,False,299498,11.162638888888889
Other US,L2,20,True,103258,11.31111111111111
Other US,L2,21,False,319576,10.554722222222225
Other US,L2,21,True,88040,10.758333333333333
Other US,L2,22,False,218649,8.995277777777778
Other US,L2,22,True,75915,10.220694444444444
Other US,L2,23,False,189835,8.001111111111111
Other US,L2,23,True,45184,9.001111111111111
,,0,False,758,5.973611111111111
,,0,True,449,5.047083333333333
,,1,False,487,4.9238888888888885
,,1,True,255,7.253611111111111
,,2,False,425,3.1402083333333333
,,2,True,211,4.8180555555555555
,,3,False,372,4.042916666666667
,,3,True,190,6.152638888888889
,,4,False,575,4.704444444444444
,,4,True,160,4.878888888888889
,,5,False,2423,4.435555555555555
,,5,True,342,2.9975
,,6,False,8051,3.619652777777778
,,6,True,1073,2.923888888888889
,,7,False,15835,6.082777777777778
,,7,True,1443,2.3625694444444445
,,8,False,18012,5.0025
,,8,True,2208,3.85
,,9,False,11409,3.9880555555555555
,,9,True,2485,2.2559722222222223
,,10,False,7621,3.506111111111111
,,10,True,2747,2.005486111111111
,,11,False,8236,3.138888888888889
,,11,True,2924,2.098958333333333
,,12,False,8761,3.1954166666666666
,,12,True,2912,1.799861111111111
,,13,False,7793,2.830277777777778
,,13,True,2995,1.7206944444444443
,,14,False,7045,2.434861111111111
,,14,True,2935,2.4129861111111106
,,15,False,7188,2.6106944444444444
,,15,True,2722,2.3518749999999997
,,16,False,7360,3.2091666666666665
,,16,True,2677,2.152013888888889
,,17,False,8002,2.4159722222222224
,,17,True,2670,1.9605555555555556
,,18,False,7573,3.3769444444444443
,,18,True,2498,4.097222222222222
,,19,False,5596,5.206805555555556
,,19,True,1965,4.207986111111111
,,20,False,4210,5.247222222222222
,,20,True,1404,5.18138888888889
,,21,False,3207,9.54138888888889
,,21,True,1331,7.488124999999998
,,22,False,2605,7.868680555555555
,,22,True,1050,6.016527777777778
,,23,False,2214,7.929444444444445
,,23,True,715,6.4927777777777775
