vehicle_id,ownership,electrification_level,vehicle_type,state,sessions,mean_soc_start,median_soc_start,sd_soc_start,mean_soc_gain,mean_energy,soc_persona,soc_persona_label
293,Fleet,PHEV (Plug-in Hybrid Electric Vehicle),MULTIPURPOSE PASSENGER VEHICLE (MPV),Colorado,7,67.14285714285714,85.0,31.339158526400436,14.285714285714286,1.7734,0,deep chargers
294,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Colorado,5,32.0,30.0,26.832815729997478,17.0,11.106,0,deep chargers
297,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Colorado,25,67.4,70.0,17.86057109949175,26.0,15.47952,1,top-up chargers
300,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Colorado,58,72.24137931034483,75.0,16.441614238446306,19.56896551724138,11.533603448275862,1,top-up chargers
301,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Colorado,55,53.18181818181818,45.0,25.862235380090773,31.181818181818183,17.771072727272728,0,deep chargers
302,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Colorado,23,57.17391304347826,55.0,23.732701209920616,24.130434782608695,14.270608695652173,0,deep chargers
307,Fleet,PHEV (Plug-in Hybrid Electric Vehicle),PASSENGER CAR,Colorado,23,28.47826086956522,15.0,28.858383948354973,9.782608695652174,1.2814565217391305,0,deep chargers
308,Fleet,PHEV (Plug-in Hybrid Electric Vehicle),MULTIPURPOSE PASSENGER VEHICLE (MPV),Colorado,13,67.6923076923077,85.0,31.99058355043615,10.76923076923077,1.500530769230769,1,top-up chargers
309,Fleet,PHEV (Plug-in Hybrid Electric Vehicle),PASSENGER CAR,Colorado,26,87.5,95.0,25.77789750930048,5.1923076923076925,0.8064,1,top-up chargers
310,Fleet,PHEV (Plug-in Hybrid Electric Vehicle),MULTIPURPOSE PASSENGER VEHICLE (MPV),Colorado,6,3.3333333333333335,5.0,2.581988897471611,5.833333333333333,0.7466666666666667,0,deep chargers
313,Fleet,PHEV (Plug-in Hybrid Electric Vehicle),PASSENGER CAR,Colorado,13,32.30769230769231,15.0,32.8896757240136,10.0,1.4243384615384616,0,deep chargers
314,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Colorado,72,59.30555555555556,60.0,18.295415333416788,20.34722222222222,12.013041666666666,1,top-up chargers
316,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Colorado,101,72.32673267326733,75.0,15.48490162118642,15.544554455445544,9.300148514851486,1,top-up chargers
318,Fleet,PHEV (Plug-in Hybrid Electric Vehicle),PASSENGER CAR,Colorado,25,29.4,15.0,31.135456744147284,9.0,1.1527880000000001,0,deep chargers
320,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Colorado,141,67.26950354609929,70.0,17.773125552210285,22.30496453900709,13.114702127659575,1,top-up chargers
322,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Colorado,11,50.45454545454545,45.0,26.405922200762603,29.545454545454547,16.87690909090909,0,deep chargers
323,Fleet,PHEV (Plug-in Hybrid Electric Vehicle),PASSENGER CAR,Colorado,14,28.928571428571427,0.0,39.182932480892724,10.714285714285714,1.3682999999999998,0,deep chargers
324,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Colorado,557,70.77199281867145,75.0,16.021458356094286,16.166965888689408,9.552371633752244,1,top-up chargers
325,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Colorado,60,47.333333333333336,40.0,23.20627228674023,29.416666666666668,17.372400000000003,0,deep chargers
326,Fleet,PHEV (Plug-in Hybrid Electric Vehicle),PASSENGER CAR,Colorado,19,23.94736842105263,15.0,31.516263322309797,8.157894736842104,1.1298000000000001,0,deep chargers
327,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Colorado,132,76.43939393939394,80.0,16.88002459015501,17.613636363636363,10.410931818181817,1,top-up chargers
334,Fleet,PHEV (Plug-in Hybrid Electric Vehicle),PASSENGER CAR,Colorado,26,25.576923076923077,15.0,25.62525797243505,8.653846153846153,1.1725807692307693,0,deep chargers
525,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Georgia,73,80.61643835616438,85.0,13.767544500852463,18.356164383561644,12.012780821917808,1,top-up chargers
526,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Georgia,48,70.0,70.0,11.39242002572558,22.5,14.747356250000001,1,top-up chargers
527,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Georgia,156,59.77564102564103,65.0,22.3342854382684,21.73076923076923,13.599088461538463,0,deep chargers
528,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Georgia,122,70.61475409836065,75.0,19.735627355853556,22.09016393442623,14.585632786885247,1,top-up chargers
529,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Georgia,148,67.53378378378379,80.0,25.431625161886547,20.0,13.091991891891892,0,deep chargers
530,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Georgia,32,67.65625,77.5,19.91855898240342,12.5,7.457484375,1,top-up chargers
531,Fleet,PHEV (Plug-in Hybrid Electric Vehicle),MULTIPURPOSE PASSENGER VEHICLE (MPV),Washington,8,75.625,77.5,18.407587721216643,8.75,1.4188,1,top-up chargers
532,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Washington,96,46.5625,50.0,23.002431221617925,27.708333333333332,10.379166666666666,0,deep chargers
533,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Washington,61,69.59016393442623,70.0,16.311935353374775,24.75409836065574,9.6,1,top-up chargers
534,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Washington,49,55.40816326530612,60.0,19.943585400811354,28.571428571428573,11.110204081632652,0,deep chargers
535,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Washington,31,60.806451612903224,60.0,18.26183516670529,26.129032258064516,9.76774193548387,0,deep chargers
537,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Washington,241,70.51867219917013,70.0,16.02214170753291,18.029045643153527,7.085477178423236,1,top-up chargers
538,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Washington,20,70.5,70.0,11.686699592631832,28.0,11.2,1,top-up chargers
542,Personal,PHEV (Plug-in Hybrid Electric Vehicle),PASSENGER CAR,California,41,33.90243902439025,20.0,29.144300367352088,18.048780487804876,5.041463414634146,0,deep chargers
544,Personal,PHEV (Plug-in Hybrid Electric Vehicle),PASSENGER CAR,California,13,51.15384615384615,40.0,35.71611716915804,12.692307692307692,3.473076923076923,0,deep chargers
