vehicle_id,date,trip_km,trips,charged_kwh,estimated_consumed_kwh,net_kwh
157,2023-01-10,89.469836,18.0,0.0,18.31536998987962,-18.31536998987962
157,2023-01-11,166.93643,24.0,9.92,34.1735563284104,-24.253556328410397
157,2023-01-12,158.890942,21.0,0.0,32.52656449231117,-32.52656449231117
157,2023-01-13,181.457848,23.0,38.44,37.14623578484416,1.2937642151558393
157,2023-01-14,51.494077,11.0,9.3,10.5413524234285,-1.2413524234284985
157,2023-01-15,70.67434,8.0,0.0,14.467744032643013,-14.467744032643013
157,2023-01-16,8.7546,2.0,0.0,1.7921541525280111,-1.7921541525280111
157,2023-01-19,143.4732,21.0,38.44,29.370398551216713,9.069601448783285
157,2023-01-20,159.070567,28.0,0.0,32.56333552578476,-32.56333552578476
157,2023-01-21,56.11672,12.0,73.78,11.487653664844961,62.29234633515504
157,2023-01-22,164.054602,26.0,38.44,33.58361732296508,4.856382677034915
157,2023-01-23,163.29488,18.0,38.44,33.428094633514185,5.011905366485813
157,2023-01-24,9.56522,3.0,0.0,1.9580961714805911,-1.9580961714805911
157,2023-01-25,2.19138,1.0,0.0,0.4485973964278017,-0.4485973964278017
157,2023-01-26,9.601282999999999,2.0,0.0,1.9654786281550953,-1.9654786281550953
157,2023-01-27,170.780469,29.0,0.0,34.96046954618501,-34.96046954618501
157,2023-01-28,173.649386,21.0,0.0,35.54776554084018,-35.54776554084018
157,2023-01-29,118.442197,22.0,0.0,24.246301965605593,-24.246301965605593
157,2023-01-30,53.208405,9.0,0.0,10.892292505670412,-10.892292505670412
157,2023-01-31,33.221244,5.0,0.0,6.800720808117592,-6.800720808117592
157,2023-02-01,148.40101,9.0,0.0,30.37917052873357,-30.37917052873357
157,2023-02-02,135.74055,26.0,0.0,27.78744778161608,-27.78744778161608
157,2023-02-03,158.045037,34.0,38.44,32.35339928106289,6.086600718937106
157,2023-02-04,181.149268,24.0,0.0,37.08306637351902,-37.08306637351902
157,2023-02-05,171.87401,22.0,38.44,35.18432832261222,3.255671677387781
157,2023-02-06,91.19794999999999,7.0,0.0,18.669132204160316,-18.669132204160316
157,2023-02-07,134.51553,9.0,0.0,27.5366739393012,-27.5366739393012
157,2023-02-08,154.0851,15.0,29.14,31.542760583886626,-2.402760583886625
157,2023-02-09,142.473087,28.0,38.44,29.165665420525734,9.274334579474264
157,2023-02-10,190.944014,28.0,38.44,39.088148812106404,-0.6481488121064061
157,2023-02-11,157.298566,25.0,37.82,32.20058920380159,5.619410796198409
157,2023-02-12,169.74446,27.0,38.44,34.74838814538927,3.691611854610727
157,2023-02-13,178.09139,8.0,0.0,36.45708817284462,-36.45708817284462
157,2023-02-14,150.969536,24.0,31.0,30.904973482241,0.09502651775899906
157,2023-02-15,78.90066,4.0,0.0,16.151753987183966,-16.151753987183966
157,2023-02-16,176.655044,27.0,0.0,36.163053785394936,-36.163053785394936
157,2023-02-17,97.51880000000001,9.0,17.98,19.963073397933503,-1.9830733979335022
157,2023-02-18,63.844820000000006,7.0,0.0,13.0696730039526,-13.0696730039526
157,2023-02-19,173.898576,21.0,0.0,35.59877722535672,-35.59877722535672
157,2023-02-21,65.5802,2.0,0.0,13.424922641082114,-13.424922641082114
157,2023-02-22,103.9678,4.0,0.0,21.283248178009476,-21.283248178009476
157,2023-02-23,141.22961800000002,25.0,0.0,28.911114883449248,-28.911114883449248
157,2023-02-24,130.286117,28.0,38.44,26.670870810579615,11.769129189420383
157,2023-02-25,166.300101,27.0,38.44,34.04329341979961,4.396706580200387
157,2023-02-26,170.50707,21.0,37.82,34.90450203731573,2.9154979626842703
157,2023-02-27,26.85019,5.0,3.72,5.496502353581669,-1.776502353581669
157,2023-02-28,8.41701,1.0,0.0,1.7230461041475102,-1.7230461041475102
157,2023-03-02,160.8029,19.0,38.44,32.91796141154896,5.522038588451039
157,2023-03-03,156.487023,30.0,0.0,32.03445823752043,-32.03445823752043
157,2023-03-04,189.291505,28.0,0.0,38.74986369725936,-38.74986369725936
157,2023-03-05,174.921189,26.0,38.44,35.808116331013075,2.631883668986923
157,2023-03-07,5.31611,2.0,0.0,1.0882608699193208,-1.0882608699193208
157,2023-03-08,111.93785,7.0,0.0,22.914797101244787,-22.914797101244787
