region,land_use,pricing,sessions,energy_kwh,duration_hours,evse_count,energy_per_evse,sessions_per_evse_month
West North Central,Undesignated,Free,15792,245809.064452,170061.09277777778,73.0,3367.247458246575,5.03090156100669
West North Central,Undesignated,Paid,7738,145232.912456,24237.432777777776,29.0,5008.031464,6.205292702485966
West North Central,Undesignated,Undesignated,71,2016.80439,377.4838888888889,1.0,2016.80439,1.6511627906976745
West South Central,Metro Area,Free,477905,8819571.030555,5575068.3950000005,1518.0,5809.994091274704,7.321521585930079
West South Central,Metro Area,Paid,252144,5272401.307546,1684582.1119444445,525.0,10042.669157230475,11.169169435215947
West South Central,Metro Area,Undesignated,21433,385648.288151715,225533.95527777777,110.0,3505.8935286519545,4.531289640591966
West South Central,Non-Metro,Free,7182,139533.428518,61674.03555555556,43.0,3244.9634539069766,3.884261763115197
West South Central,Non-Metro,Paid,1600,39831.406384,1531.7288888888888,9.0,4425.711820444445,4.134366925064599
West South Central,Undesignated,Free,27846,433524.50834,277293.0861111111,90.0,4816.938981555556,7.195348837209302
West South Central,Undesignated,Paid,1329,30372.564555,2621.085,16.0,1898.2852846875,1.931686046511628
West South Central,Undesignated,Undesignated,81,1114.473152,249.47583333333333,1.0,1114.473152,1.8837209302325582
,,,186119,3541434.844458,1397669.0952777779,,,
