vehicle_id,ownership,vehicle_type,electrification_level,state,charge_start_dt,km_since_prior_charge,trips_since_prior_charge,avg_temp_c,charged_kwh,kwh_per_km_proxy,wh_per_km_proxy,temp_bin
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-06-09 13:30:00,54.8921,2,25.0,12.0,0.21861069261332688,218.61069261332688,>20C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-06-11 12:50:00,13.98306,2,22.5,3.6,0.2574543769389533,257.45437693895326,>20C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-06-14 10:30:00,16.90697,2,25.0,4.2,0.24841825590274305,248.41825590274306,>20C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-06-22 12:50:00,73.80439999999999,6,17.083333333333332,12.0,0.16259193218832485,162.59193218832485,10-20C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-06-25 13:00:00,21.97945,4,18.75,4.2,0.19108758408422413,191.08758408422412,10-20C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-06-29 12:30:00,41.734845,5,30.0,5.4,0.12938828453777654,129.3882845377765,>20C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-06-30 13:00:00,21.489949999999997,3,29.166666666666668,5.4,0.251280249605048,251.28024960504797,>20C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-07-02 14:00:00,55.3748,3,20.0,15.6,0.281716593107334,281.716593107334,10-20C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-07-07 15:00:00,32.033,2,30.0,9.6,0.2996909437142946,299.69094371429463,>20C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-07-09 13:10:00,17.981279999999998,2,25.0,5.4,0.30031232481781056,300.3123248178106,>20C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-07-12 14:30:00,55.1632,2,23.75,12.6,0.22841314499521417,228.4131449952142,>20C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-07-13 11:40:00,30.8667,2,25.0,6.0,0.19438423932587545,194.38423932587546,>20C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-07-13 14:10:00,29.3679,1,30.0,19.2,0.6537750400947974,653.7750400947974,>20C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-07-19 14:20:00,57.0505,3,26.666666666666668,11.4,0.19982296386534737,199.82296386534736,>20C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-07-20 12:40:00,32.05718,3,27.5,12.0,0.3743311170851584,374.33111708515844,>20C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-07-22 11:40:00,36.2094,3,19.166666666666668,7.8,0.21541367711146828,215.41367711146827,10-20C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-07-22 16:20:00,9.74203,2,23.75,5.4,0.5542992579575304,554.2992579575305,>20C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-07-29 11:10:00,74.88823000000001,6,24.583333333333332,6.0,0.08011939927008556,80.11939927008555,>20C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-07-30 12:10:00,38.216539999999995,3,20.0,9.6,0.25120013481073905,251.20013481073906,10-20C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-08-04 09:30:00,25.648469999999996,4,19.375,4.2,0.1637524577489418,163.75245774894177,10-20C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-08-05 11:50:00,33.1566,2,22.5,2.4,0.07238377879517201,72.383778795172,>20C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-08-05 16:30:00,79.64373,5,25.0,27.0,0.33900973748969315,339.0097374896931,>20C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-08-06 13:20:00,17.3821,2,26.25,5.4,0.31066441914383186,310.6644191438319,>20C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-08-09 10:50:00,27.6545,2,20.0,7.2,0.2603554575204759,260.3554575204759,10-20C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-08-09 16:20:00,39.8502,2,30.0,12.6,0.31618410949004017,316.1841094900402,>20C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-08-10 10:30:00,17.00902,2,25.0,3.6,0.21165240560596674,211.65240560596672,>20C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-08-11 12:30:00,52.49559000000001,6,27.5,12.6,0.24002016169358223,240.02016169358222,>20C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-08-12 15:00:00,28.384893999999996,4,30.0,9.0,0.3170700584613774,317.0700584613774,>20C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-08-13 12:50:00,48.68454,3,30.0,12.0,0.2464848183838237,246.4848183838237,>20C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-08-16 13:00:00,32.8699,2,25.0,8.4,0.25555295270140765,255.55295270140766,>20C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-08-16 15:50:00,8.11474,1,25.0,4.2,0.5175766567998482,517.5766567998483,>20C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-08-17 10:30:00,16.38403,3,20.0,3.6,0.21972616016938448,219.72616016938446,10-20C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-08-17 16:10:00,20.40905,3,25.0,6.0,0.2939872262550192,293.9872262550192,>20C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-08-18 13:20:00,17.01769,2,25.0,4.8,0.2820594334483704,282.05943344837044,>20C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-08-19 09:40:00,33.03832,3,20.0,9.0,0.27241094583501824,272.41094583501825,10-20C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-08-23 13:40:00,67.82014,5,25.0,3.6,0.05308157724239437,53.081577242394374,>20C
