evse_id,metro_area,land_use,region,num_ports,charge_level,venue,pricing,is_corridor,is_metro
18957,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,False,True
18958,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,False,True
18963,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid,False,True
18960,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid,False,True
18967,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Metro Area,Pacific,1,DCFC,Undesignated,Paid,False,True
18970,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free,True,True
18972,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Undesignated,False,True
18980,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Metro Area,Pacific,1,DCFC,Undesignated,Undesignated,False,True
18981,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid,False,True
18982,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,False,True
18983,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free,True,True
18984,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free,True,True
18976,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free,True,True
18977,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free,True,True
18978,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free,True,True
18777,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,False,True
18789,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,False,True
18790,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid,False,True
18770,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,False,True
18771,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid,False,True
18798,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,False,True
18804,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid,False,True
18800,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,False,True
18810,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Metro Area,Pacific,1,DCFC,Undesignated,Paid,False,True
18722,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid,False,True
18723,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,False,True
18734,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Metro Area,Pacific,1,DCFC,Corridor,Paid,True,True
18741,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Metro Area,Pacific,1,DCFC,Undesignated,Free,False,True
18750,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,False,True
18754,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid,True,True
18762,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Metro Area,Pacific,1,DCFC,Corridor,Paid,True,True
18758,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Metro Area,Pacific,1,DCFC,Corridor,Paid,True,True
18759,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid,True,True
18767,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,False,True
18821,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid,True,True
18826,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,False,True
18834,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free,True,True
18835,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free,True,True
18838,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,False,True
18841,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Undesignated,False,True
18843,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Metro Area,Pacific,1,DCFC,Undesignated,Paid,False,True
18851,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Metro Area,Pacific,1,DCFC,Corridor,Paid,True,True
18857,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Undesignated,False,True
18863,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free,True,True
18864,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Undesignated,False,True
18867,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free,True,True
18868,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid,True,True
18997,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid,False,True
18992,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,False,True
18994,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid,False,True
18995,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid,False,True
19002,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid,True,True
19004,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Undesignated,False,True
19006,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid,False,True
19007,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Undesignated,False,True
19009,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,False,True
19019,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free,True,True
19012,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Undesignated,False,True
19015,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Undesignated,False,True
18660,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,False,True
18669,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid,True,True
18670,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,False,True
18674,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,False,True
18678,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,False,True
18679,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Undesignated,False,True
18680,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid,True,True
18681,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid,True,True
18676,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid,True,True
18683,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,False,True
18685,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid,True,True
18688,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid,False,True
18696,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,False,True
18702,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid,True,True
18709,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,False,True
18712,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid,True,True
18714,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,False,True
18716,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Undesignated,False,True
18725,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,False,True
18500,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid,True,True
18511,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,False,True
18513,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid,False,True
18514,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free,True,True
18519,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free,True,True
18525,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,False,True
18523,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free,True,True
18531,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,False,True
18533,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free,True,True
18538,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid,True,True
18539,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free,True,True
18540,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free,True,True
18544,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,False,True
18545,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid,False,True
18560,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid,True,True
18567,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,False,True
18588,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid,True,True
18589,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid,True,True
18603,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid,True,True
18609,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid,True,True
18610,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,False,True
18614,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Metro Area,Pacific,1,DCFC,Undesignated,Free,False,True
18615,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free,True,True
18624,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free,True,True
18643,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,False,True
18648,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid,True,True
18652,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,False,True
18654,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,False,True
18657,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid,True,True
18157,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid,False,True
18150,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free,True,True
18152,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free,True,True
18153,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid,False,True
18145,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid,False,True
18146,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid,False,True
18147,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,False,True
18116,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free,True,True
18122,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid,True,True
18123,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free,True,True
18126,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid,True,True
18132,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Undesignated,False,True
18134,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid,True,True
18135,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,False,True
18138,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,False,True
18160,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Metro Area,Pacific,1,DCFC,Undesignated,Paid,False,True
18165,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free,True,True
18166,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Metro Area,Pacific,1,DCFC,Corridor,Paid,True,True
18167,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid,True,True
18168,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free,True,True
18175,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid,True,True
18182,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid,False,True
18186,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Metro Area,Pacific,1,DCFC,Undesignated,Free,False,True
18180,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid,True,True
18191,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid,True,True
18192,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free,True,True
18194,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid,False,True
18195,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Metro Area,Pacific,1,DCFC,Corridor,Paid,True,True
18196,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free,True,True
18197,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Metro Area,Pacific,1,DCFC,Undesignated,Free,False,True
18198,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid,False,True
18203,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,False,True
18200,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid,True,True
18201,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Metro Area,Pacific,1,DCFC,Corridor,Paid,True,True
18209,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,False,True
18217,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,False,True
18222,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid,True,True
18227,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Metro Area,Pacific,1,DCFC,Corridor,Paid,True,True
18232,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Metro Area,Pacific,1,DCFC,Corridor,Paid,True,True
18247,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free,True,True
18250,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free,True,True
18257,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,False,True
18261,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,False,True
18263,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free,True,True
18266,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,False,True
18073,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid,False,True
18074,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid,True,True
18075,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,False,True
18087,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,False,True
18084,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid,True,True
18091,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid,True,True
18093,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid,True,True
18098,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Undesignated,False,True
18099,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid,True,True
18100,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free,True,True
18105,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,False,True
18106,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid,True,True
18112,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Undesignated,True,True
18269,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free,True,True
18276,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free,True,True
18277,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid,True,True
18278,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free,True,True
18291,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,False,True
18288,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,False,True
18289,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid,True,True
18300,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,False,True
