charge_level,weekday,hour,sessions,energy_kwh
L2,Wednesday,9,88176,1167581.208412
L2,Wednesday,10,67457,810423.074005
L2,Wednesday,11,73136,831545.7921590001
L2,Wednesday,12,90285,1007755.716772
L2,Wednesday,13,84123,940718.856211281
L2,Wednesday,14,77380,906970.312187531
L2,Wednesday,15,85259,1020011.186001218
L2,Wednesday,16,94739,1237266.536539125
L2,Wednesday,17,111073,1605127.156863125
L2,Wednesday,18,101587,1615953.658965438
L2,Wednesday,19,93590,1593470.535192249
L2,Wednesday,20,76790,1449297.8793600001
L2,Wednesday,21,77489,1548112.01229775
L2,Wednesday,22,50574,1052633.1359249079
L2,Wednesday,23,62621,1236914.543980782
L2,Thursday,0,15495,322352.5222935
L2,Thursday,1,7659,150283.558929187
L2,Thursday,2,5052,92922.415895
L2,Thursday,3,4739,74514.325878625
L2,Thursday,4,6898,111794.829226
L2,Thursday,5,18417,276781.418798
L2,Thursday,6,47485,704865.169588
L2,Thursday,7,97620,1442538.404402
L2,Thursday,8,124719,1761473.866961
L2,Thursday,9,87739,1161364.523693875
L2,Thursday,10,67724,816273.77143
L2,Thursday,11,72824,831819.15031975
L2,Thursday,12,90272,1016812.34716475
L2,Thursday,13,83517,940161.1441171879
L2,Thursday,14,77379,908993.241073687
L2,Thursday,15,86023,1031688.081286563
L2,Thursday,16,93584,1232071.201836844
L2,Thursday,17,109612,1582866.531595531
L2,Thursday,18,100075,1586290.86397606
L2,Thursday,19,93875,1595509.509335032
L2,Thursday,20,77140,1477426.780250123
L2,Thursday,21,78244,1593639.6707579999
L2,Thursday,22,52909,1132433.626679063
L2,Thursday,23,64123,1288177.513974063
L2,Friday,0,16896,363123.481686218
L2,Friday,1,8307,170965.940281625
L2,Friday,2,5550,107649.380236907
L2,Friday,3,4960,83767.249096531
L2,Friday,4,6897,114275.787382094
L2,Friday,5,16831,257986.917709656
L2,Friday,6,42609,640904.582032
L2,Friday,7,89253,1330262.9326915941
L2,Friday,8,114042,1600146.053870594
L2,Friday,9,83995,1096661.937406
L2,Friday,10,68588,813883.567092406
L2,Friday,11,75617,864145.64714525
L2,Friday,12,89728,995502.499243
L2,Friday,13,87501,994311.123507031
L2,Friday,14,82284,978639.783329187
L2,Friday,15,90158,1094141.289868595
L2,Friday,16,94960,1260154.095555094
L2,Friday,17,103542,1497026.187548656
L2,Friday,18,94368,1469157.168454562
L2,Friday,19,88556,1461070.826198407
L2,Friday,20,71563,1348458.8568817491
L2,Friday,21,76632,1548204.181246468
L2,Friday,22,58069,1246561.607016094
L2,Friday,23,68449,1413345.232475688
L2,Saturday,0,23034,503992.860351625
L2,Saturday,1,11325,254630.038582469
L2,Saturday,2,7463,163635.84586325
L2,Saturday,3,5196,108201.716465875
L2,Saturday,4,5216,102485.994765781
L2,Saturday,5,9253,154617.063289375
L2,Saturday,6,17650,272593.644553312
L2,Saturday,7,30330,413467.438021
L2,Saturday,8,46904,618782.818717
L2,Saturday,9,59712,725649.543403657
L2,Saturday,10,72433,840645.956672
L2,Saturday,11,80617,924332.5746170001
L2,Saturday,12,86328,997445.746232124
L2,Saturday,13,85862,1019016.079733375
L2,Saturday,14,85134,1033586.465863156
L2,Saturday,15,85001,1086869.560862688
L2,Saturday,16,85633,1171405.88478444
L2,Saturday,17,85897,1256664.655131156
L2,Saturday,18,81469,1273940.08169978
L2,Saturday,19,82371,1369800.641809563
L2,Saturday,20,64376,1208533.102216219
L2,Saturday,21,57724,1181226.294558749
L2,Saturday,22,53619,1136071.735840749
L2,Saturday,23,33983,758878.8671425
L2,Sunday,0,21260,463087.343600562
L2,Sunday,1,11036,249516.93169278099
L2,Sunday,2,6686,154729.92404399998
L2,Sunday,3,4999,107999.57536478099
L2,Sunday,4,4627,93043.443718375
L2,Sunday,5,7673,135457.56657599998
L2,Sunday,6,14979,238740.81079284401
L2,Sunday,7,24133,349779.591683
L2,Sunday,8,36321,493959.361777938
L2,Sunday,9,48912,615251.544155
L2,Sunday,10,61043,743053.557834
L2,Sunday,11,72233,865861.94464
L2,Sunday,12,80585,965631.732935781
L2,Sunday,13,80716,989085.241341406
L2,Sunday,14,79920,1000871.533731531
L2,Sunday,15,80814,1082345.708598624
L2,Sunday,16,82675,1180552.63624522
L2,Sunday,17,84140,1307393.553419029
L2,Sunday,18,79103,1318570.821704969
L2,Sunday,19,83435,1458452.8448555311
L2,Sunday,20,63864,1250278.584275625
L2,Sunday,21,50949,1082187.697734843
L2,Sunday,22,37130,815875.738405407
L2,Sunday,23,23571,519778.659922
,Monday,0,174,4220.063635
,Monday,1,103,3434.400006
,Monday,2,79,1874.359224
,Monday,3,71,2231.676201
,Monday,4,105,2901.678509
,Monday,5,545,12484.744035
,Monday,6,1649,38828.353676
,Monday,7,3046,69257.04497700001
,Monday,8,3389,68310.241806
,Monday,9,2131,39637.876407
,Monday,10,1442,25663.484121
,Monday,11,1658,27195.519103
,Monday,12,1783,29910.698785
,Monday,13,1533,26217.475011000002
,Monday,14,1309,23435.731955
,Monday,15,1333,21959.109916
,Monday,16,1261,22298.797167
,Monday,17,1483,27404.684465
,Monday,18,1373,25306.037018
,Monday,19,1027,21337.972
,Monday,20,753,16408.563202
,Monday,21,574,12424.061456
,Monday,22,429,9317.896323
,Monday,23,377,7899.278498
,Tuesday,0,137,3783.198933
,Tuesday,1,97,2866.057554
,Tuesday,2,71,1778.319663
,Tuesday,3,66,1678.8944179999999
,Tuesday,4,143,4136.327961
,Tuesday,5,480,9553.598241
,Tuesday,6,1748,39712.23521
,Tuesday,7,3515,72719.631643
,Tuesday,8,3713,67580.74514
,Tuesday,9,2356,41276.805414
,Tuesday,10,1545,26824.182857
,Tuesday,11,1661,27429.240074999998
,Tuesday,12,1748,29609.266867
,Tuesday,13,1431,24978.118303
,Tuesday,14,1376,21980.948593
,Tuesday,15,1427,22579.659044
,Tuesday,16,1513,26069.422285
,Tuesday,17,1595,28837.320989
,Tuesday,18,1465,24822.330167
,Tuesday,19,1071,21059.392711
,Tuesday,20,745,15915.224782
,Tuesday,21,637,14303.436394
,Tuesday,22,460,10767.731478
,Tuesday,23,396,8632.116638
,Wednesday,0,125,3586.509615
,Wednesday,1,89,2342.580206
,Wednesday,2,85,1972.9477190000002
,Wednesday,3,71,2444.25915
,Wednesday,4,128,3604.637204
,Wednesday,5,454,9263.977426
,Wednesday,6,1580,31947.942266
,Wednesday,7,3246,68231.495729
,Wednesday,8,3716,68085.225102
,Wednesday,9,2355,39138.073254
,Wednesday,10,1554,25949.920924
,Wednesday,11,1601,23924.052247
,Wednesday,12,1810,29578.671648000003
,Wednesday,13,1643,27808.582792
,Wednesday,14,1404,24010.030005
,Wednesday,15,1362,23386.621284
,Wednesday,16,1512,25055.503025
,Wednesday,17,1653,29767.060856999997
,Wednesday,18,1629,29387.897477000002
,Wednesday,19,1074,20943.535893
,Wednesday,20,833,17838.755794999997
,Wednesday,21,624,14247.497383
,Wednesday,22,568,13572.33938
,Wednesday,23,428,9944.216171
,Thursday,0,138,3719.630057
,Thursday,1,88,2112.015835
,Thursday,2,82,2248.647319
,Thursday,3,81,2032.218777
,Thursday,4,118,3822.232621
,Thursday,5,538,11025.752583000001
,Thursday,6,1599,35590.29744
,Thursday,7,3125,64980.332308
,Thursday,8,3840,66861.219096
,Thursday,9,2281,39669.310371
,Thursday,10,1593,26559.844364
,Thursday,11,1746,30121.759995
,Thursday,12,1727,27430.371743999996
,Thursday,13,1579,26282.602946
,Thursday,14,1403,22576.491001
,Thursday,15,1503,25822.330074
,Thursday,16,1490,24589.962955
,Thursday,17,1732,31037.377761
,Thursday,18,1571,29470.507099000002
,Thursday,19,1221,23938.999694
,Thursday,20,921,20654.277989000002
,Thursday,21,646,14531.254993999999
,Thursday,22,518,12558.589415
,Thursday,23,457,10091.104408
,Friday,0,184,4183.026671
,Friday,1,110,3047.694042
,Friday,2,108,2697.344412
,Friday,3,83,1774.881484
,Friday,4,81,2453.950801
,Friday,5,406,7928.544499
,Friday,6,1475,34503.491505
,Friday,7,2903,59703.036181999996
,Friday,8,3354,60104.978109
,Friday,9,2286,39824.708323
,Friday,10,1487,27522.15968
,Friday,11,1570,26351.120452999996
,Friday,12,1693,28133.292831
,Friday,13,1607,27076.770060000003
,Friday,14,1553,28068.435377
,Friday,15,1563,28111.463766
,Friday,16,1584,26988.631582
,Friday,17,1539,28365.753080000002
,Friday,18,1535,27810.882448
,Friday,19,1203,23658.786244
,Friday,20,958,21652.309787
,Friday,21,726,16363.534842000001
,Friday,22,630,14442.471839
,Friday,23,556,13512.008116
,Saturday,0,209,5615.013908
,Saturday,1,109,3135.618868
,Saturday,2,93,2655.82644
,Saturday,3,90,3207.282326
,Saturday,4,101,2564.4652130000004
,Saturday,5,176,4826.646332
,Saturday,6,536,12697.929396
,Saturday,7,782,17913.688038
,Saturday,8,1309,24139.713474
,Saturday,9,1351,25776.040124
,Saturday,10,1468,26864.986063
,Saturday,11,1562,27109.253788
,Saturday,12,1499,26192.864665
,Saturday,13,1534,28208.135256999998
,Saturday,14,1504,25965.575625
,Saturday,15,1414,26483.653438
,Saturday,16,1396,25410.520878
,Saturday,17,1400,26153.689433
,Saturday,18,1330,24225.912896
,Saturday,19,1038,21402.151512
,Saturday,20,760,17305.535886
,Saturday,21,727,16802.735116
,Saturday,22,561,12516.638968
,Saturday,23,409,9498.24067
,Sunday,0,240,5843.278869
,Sunday,1,146,3439.113167
,Sunday,2,118,2667.971196
,Sunday,3,100,3054.992692
,Sunday,4,59,1256.259028
,Sunday,5,166,3635.606159
,Sunday,6,537,12988.917799
,Sunday,7,661,15420.762455
,Sunday,8,899,18563.678427
,Sunday,9,1134,22722.162083000003
,Sunday,10,1279,25232.078791
,Sunday,11,1362,24585.597641
,Sunday,12,1413,26853.539064
,Sunday,13,1461,25854.641476
,Sunday,14,1431,26752.713134999998
,Sunday,15,1308,22372.559156
,Sunday,16,1281,23656.276624
,Sunday,17,1270,23309.028936
,Sunday,18,1168,23121.967644999997
,Sunday,19,927,20080.277563
,Sunday,20,644,15036.830871
,Sunday,21,604,13353.865002999999
,Sunday,22,489,10754.297244000001
,Sunday,23,306,7313.618733
