hour,is_weekend,energy_kwh,total_duration,charge_duration,is_dcfc,overstay_hours,venue,land_use,cluster,pca1,pca2
21,0,12.006629,10.21861111111111,4.108333333333333,0,6.110277777777777,Multi-use Parking Garage/Lot,Metro Area,4,1.5461524483671685,0.5783773666680568
19,0,17.1996,18.00138888888889,2.8538888888888887,0,15.1475,Single Family Residential,Metro Area,1,2.386048236314928,-0.05001039369561478
11,1,6.0274,2.5855555555555556,1.6605555555555556,0,0.925,Fleet,Metro Area,0,0.21816309480572113,0.8275012521102059
0,1,53.554283,11.089166666666667,8.70138888888889,0,2.387777777777778,Multi-Unit Dwelling,Metro Area,5,1.5373634406734002,1.7866555283919847
19,0,12.707,12.43138888888889,1.895,0,10.53638888888889,Single Family Residential,Metro Area,1,1.8787041483512839,-0.12067014818781929
8,0,4.760742,8.141388888888889,1.7441666666666666,0,6.397222222222222,Medical or Educational Campus,Metro Area,0,0.7674955279350432,0.702671874496448
14,0,8.539784,2.4583333333333335,2.352777777777778,0,0.10555555555555562,Business Office,Metro Area,0,-0.11218558352668849,0.7889336634505791
18,1,11.4117,15.768888888888888,1.7658333333333334,0,14.003055555555555,Single Family Residential,Metro Area,1,1.984452215340186,-0.2558822442309296
19,0,1.3772,18.00111111111111,0.9197222222222222,0,17.08138888888889,Single Family Residential,Metro Area,1,1.7858264636307493,-0.3813631893755478
10,0,4.956,0.8394444444444444,0.8347222222222223,0,0.004722222222222183,Medical or Educational Campus,Metro Area,0,-0.9841948874249612,0.6648165172146964
16,0,16.188187,15.369166666666668,2.638888888888889,0,12.73027777777778,Multi-Unit Dwelling,Metro Area,5,1.9260593276923255,1.110463206053527
22,1,13.2218,8.834722222222222,2.6930555555555555,0,6.141666666666667,Single Family Residential,Metro Area,1,1.679399898290181,-0.19375237485408792
7,0,5.2868129999999995,0.9261111111111112,0.9027777777777778,0,0.023333333333333428,Business Office,Metro Area,0,-0.9338267086788788,0.7371042231718821
6,1,4.0982,3.1097222222222216,1.5263888888888888,0,1.5833333333333328,Single Family Residential,Metro Area,1,0.35684004385577234,-0.14536928654685144
10,0,1.3,0.0788888888888888,0.0722222222222222,1,0.006666666666666599,Undesignated,Metro Area,3,-3.642775221602301,0.1711947469090174
11,1,1.606,0.5133333333333333,0.5111111111111111,0,0.0022222222222222365,Single Family Residential,Metro Area,1,-0.8003175320281468,-0.36225536574495387
10,1,7.504864,1.186388888888889,1.1822222222222225,0,0.00416666666666643,Multi-Unit Dwelling,Metro Area,5,-0.5409542320500017,0.9850599433787238
11,0,49.191,8.354444444444445,8.250833333333334,0,0.10361111111111043,Leisure Destination,Metro Area,0,0.9758983945948116,0.8528272139914721
7,0,5.935487,4.874722222222222,2.0436111111111113,0,2.831111111111111,Multi-use Parking Garage/Lot,Metro Area,4,0.45311122313371593,0.5974449210691982
21,0,35.999,12.184166666666666,5.819444444444445,0,6.3647222222222215,Multi-Unit Dwelling,Metro Area,5,2.1113465522142874,1.2851887996333684
22,0,29.278299,8.0,3.1016666666666666,0,4.898333333333333,Single Family Residential,Metro Area,1,1.7570975155334132,0.022643130951137316
10,1,6.9113,8.136111111111111,2.9675,0,5.168611111111112,Single Family Residential,Metro Area,1,1.4725103140492781,-0.11660730814916098
12,0,15.066,0.3819444444444444,0.3544444444444444,1,0.027500000000000024,Undesignated,Metro Area,3,-3.156467700082331,0.3789174328353134
