id,vehicle_type,electrification_level,ownership,state
368,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
369,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
370,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
371,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
372,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
373,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
374,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
375,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
376,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
377,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
378,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
379,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
380,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
381,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
382,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
383,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
384,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
385,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
386,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
387,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
388,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
389,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
390,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
391,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
392,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
393,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
394,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
395,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
396,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
397,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
398,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
399,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
400,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
401,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
402,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
403,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
404,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
405,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
406,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
407,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
