id,vehicle_id,start_datetime,stop_datetime,duration,energy_kwh,soc_start,soc_stop,rucc_id,flag_id
622712,1025,2022-08-01 15:50:00,2022-08-01 15:50:00,0.0166666666666666,0.62,,,1.0,576
622713,1067,2022-08-01 15:50:00,2022-08-01 16:00:00,0.0105555555555555,0.6,,,2.0,576
622714,72,2022-08-01 14:00:00,2022-08-01 14:30:00,0.5927777777777777,4.34,75.0,80.0,1.0,512
622715,1025,2022-08-01 16:00:00,2022-08-01 16:00:00,0.0166666666666666,0.62,,,1.0,576
622716,1060,2022-08-01 16:00:00,2022-08-01 17:10:00,1.138611111111111,3.6,70.0,80.0,2.0,512
622717,1031,2022-08-01 16:00:00,2022-08-01 16:00:00,0.0397222222222222,0.62,,,1.0,576
622718,6,2022-08-01 16:00:00,2022-08-01 19:20:00,3.245833333333333,17.4,70.0,100.0,3.0,0
622719,1067,2022-08-01 16:10:00,2022-08-01 16:10:00,0.0044444444444444,0.6,,,2.0,576
622720,1067,2022-08-01 16:10:00,2022-08-01 16:10:00,0.0336111111111111,0.6,,,2.0,576
622721,693,2022-08-01 15:10:00,2022-08-01 17:00:00,1.8166666666666669,10.824,80.0,100.0,1.0,0
622722,1025,2022-08-01 16:20:00,2022-08-02 04:20:00,12.125555555555556,21.08,65.0,100.0,1.0,512
622723,48,2022-08-01 16:20:00,2022-08-01 20:20:00,4.062777777777778,19.84,70.0,100.0,1.0,512
622724,1031,2022-08-01 16:20:00,2022-08-01 18:00:00,1.7030555555555555,3.1,5.0,10.0,1.0,512
622725,1040,2022-08-01 16:20:00,2022-08-01 18:40:00,2.296111111111111,4.2,55.0,65.0,1.0,0
622726,885,2022-08-01 16:20:00,2022-08-01 16:40:00,0.2483333333333333,2.63,,,2.0,0
622727,243,2022-08-01 14:20:00,2022-08-01 14:50:00,0.3533333333333333,0.7744,,,1.0,512
622728,647,2022-08-01 16:30:00,2022-08-01 16:30:00,0.0722222222222222,3.0,75.0,80.0,3.0,512
622729,1064,2022-08-01 16:40:00,2022-08-02 01:10:00,8.405277777777778,1.96,,,3.0,256
622730,1068,2022-08-01 16:50:00,2022-08-01 16:50:00,0.0063888888888888,0.1484,,,2.0,576
622731,58,2022-08-01 14:50:00,2022-08-01 14:50:00,0.0277777777777777,0.62,,,1.0,576
622732,753,2022-08-01 16:50:00,2022-08-01 23:20:00,6.5152777777777775,13.0,60.0,80.0,1.0,0
622733,158,2022-08-01 15:00:00,2022-08-01 15:00:00,0.0411111111111111,0.62,75.0,80.0,1.0,576
622734,1068,2022-08-01 17:00:00,2022-08-01 17:50:00,0.7855555555555556,1.96,,,2.0,512
622735,984,2022-08-01 17:00:00,2022-08-01 18:30:00,1.5397222222222222,25.0,,,1.0,544
622736,72,2022-08-01 15:10:00,2022-08-01 15:20:00,0.1797222222222222,1.24,70.0,75.0,1.0,512
622737,567,2022-08-01 14:30:00,2022-08-01 22:40:00,8.183055555555555,12.708,80.0,100.0,1.0,512
622738,658,2022-08-01 17:30:00,2022-08-02 08:30:00,14.951666666666666,0.5775,45.0,45.0,1.0,768
622739,665,2022-08-01 16:40:00,2022-08-01 19:10:00,2.523333333333333,2.0,40.0,45.0,2.0,512
622740,228,2022-08-01 15:40:00,2022-08-01 16:10:00,0.5075,1.96,,,1.0,512
622741,647,2022-08-01 17:50:00,2022-08-01 17:50:00,0.0333333333333333,2.0,,,3.0,576
622742,664,2022-08-01 14:50:00,2022-08-01 15:00:00,0.1858333333333333,0.6545,,,5.0,512
622743,630,2022-08-01 17:50:00,2022-08-01 18:00:00,0.1744444444444444,0.8416,0.0,5.0,1.0,512
622744,686,2022-08-01 17:00:00,2022-08-01 21:40:00,4.765555555555555,26.823,50.0,95.0,1.0,0
622745,649,2022-08-01 18:00:00,2022-08-01 18:00:00,0.0283333333333333,0.8995,,,2.0,576
622746,683,2022-08-01 15:00:00,2022-08-01 15:00:00,0.005,0.14,,,1.0,576
622747,101,2022-08-01 16:00:00,2022-08-01 16:30:00,0.4391666666666666,1.24,100.0,100.0,2.0,0
622748,158,2022-08-01 16:00:00,2022-08-01 16:10:00,0.0986111111111111,1.24,70.0,70.0,1.0,512
622749,72,2022-08-01 16:00:00,2022-08-01 16:10:00,0.1069444444444444,0.62,65.0,65.0,1.0,512
622750,1045,2022-08-01 16:20:00,2022-08-01 16:20:00,0.075,0.63,10.0,15.0,1.0,512
622751,1023,2022-08-01 18:20:00,2022-08-01 20:50:00,2.585555555555556,23.373,5.0,45.0,1.0,512
622752,1045,2022-08-01 16:20:00,2022-08-01 16:30:00,0.0744444444444444,0.91,,,1.0,512
622753,107,2022-08-01 16:30:00,2022-08-01 16:40:00,0.2433333333333333,1.176,100.0,100.0,2.0,0
622754,948,2022-08-01 16:30:00,2022-08-01 16:40:00,0.2419444444444444,1.9044,0.0,15.0,1.0,512
622755,1056,2022-08-01 18:30:00,2022-08-01 21:00:00,2.533611111111111,2.47,,,2.0,512
622756,1068,2022-08-01 18:30:00,2022-08-01 18:40:00,0.14,0.2044,,,2.0,512
622757,105,2022-08-01 16:30:00,2022-08-01 20:20:00,3.815,15.5,75.0,100.0,2.0,0
622758,1031,2022-08-01 18:30:00,2022-08-02 08:20:00,13.758611111111112,26.66,5.0,50.0,1.0,0
622759,66,2022-08-01 18:30:00,2022-08-01 22:30:00,3.9191666666666665,17.36,70.0,100.0,1.0,0
622760,984,2022-08-01 18:40:00,2022-08-01 19:10:00,0.5336111111111111,1.28,,,1.0,512
622761,1045,2022-08-01 16:40:00,2022-08-01 16:40:00,0.0516666666666666,0.56,,,1.0,512
