connector_id,evse_id,connector_number,connector_type,power_kw
16269,11878,2,J1772,<8 kW
17102,11879,1,J1772,<8 kW
16271,11880,2,J1772,<8 kW
17010,11731,1,J1772,<8 kW
16191,11746,2,J1772,<8 kW
17025,11747,1,J1772,<8 kW
17026,11748,1,J1772,<8 kW
16194,11749,2,J1772,<8 kW
17028,11750,1,J1772,<8 kW
17029,11751,1,J1772,<8 kW
17044,11785,1,J1772,<8 kW
17045,11786,1,J1772,<8 kW
17047,11788,1,J1772,<8 kW
16215,11792,1,J1772,<8 kW
16232,11828,2,J1772,<8 kW
16233,11829,2,J1772,<8 kW
17066,11830,1,J1772,<8 kW
17068,11837,1,J1772,<8 kW
16237,11838,2,J1772,<8 kW
17128,11932,1,J1772,<8 kW
17129,11933,1,J1772,<8 kW
17130,11934,1,J1772,<8 kW
16304,11935,2,J1772,<8 kW
17132,11936,1,J1772,<8 kW
16306,11937,2,J1772,<8 kW
16307,11938,2,J1772,<8 kW
16308,11939,2,J1772,<8 kW
16309,11940,2,J1772,<8 kW
17137,11941,1,J1772,<8 kW
16311,11942,2,J1772,<8 kW
17139,11943,1,J1772,<8 kW
16313,11945,2,J1772,<8 kW
16314,11946,2,J1772,<8 kW
16315,11947,2,J1772,<8 kW
17143,11948,1,J1772,<8 kW
17144,11949,1,J1772,<8 kW
17145,11950,1,J1772,<8 kW
16319,11951,2,J1772,<8 kW
17147,11952,1,J1772,<8 kW
17148,11953,1,J1772,<8 kW
17113,11894,1,J1772,<8 kW
17114,11895,1,J1772,<8 kW
17115,11896,1,J1772,<8 kW
16285,11897,2,J1772,<8 kW
16286,11898,2,J1772,<8 kW
17118,11899,1,J1772,<8 kW
16288,11900,2,J1772,<8 kW
16289,11901,1,J1772,<8 kW
20000,11902,2,J1772,<8 kW
17122,11905,1,J1772,<8 kW
16274,11883,2,J1772,<8 kW
16275,11884,2,J1772,<8 kW
17162,11973,1,J1772,<8 kW
17163,11974,1,J1772,<8 kW
16411,11007,1,J1772,<8 kW
16464,11072,1,J1772,<8 kW
16465,11073,1,J1772,<8 kW
16466,11074,1,J1772,<8 kW
15605,11075,2,J1772,<8 kW
16468,11076,1,J1772,<8 kW
16469,11077,1,J1772,<8 kW
15608,11078,2,J1772,<8 kW
15609,11079,2,J1772,<8 kW
15610,11080,2,J1772,<8 kW
16476,11085,1,J1772,<8 kW
16487,11097,1,J1772,<8 kW
15626,11098,2,J1772,<8 kW
16489,11099,1,J1772,<8 kW
16490,11100,1,J1772,<8 kW
15641,11116,2,J1772,<8 kW
16502,11117,1,J1772,<8 kW
16503,11119,1,J1772,<8 kW
15644,11120,2,J1772,<8 kW
16505,11121,1,J1772,<8 kW
15716,11196,2,J1772,<8 kW
15717,11197,2,J1772,<8 kW
15718,11198,2,J1772,<8 kW
15719,11199,2,J1772,<8 kW
15720,11200,2,J1772,<8 kW
16339,11975,2,J1772,<8 kW
16340,11976,2,J1772,<8 kW
17166,11977,1,J1772,<8 kW
16342,11978,2,J1772,<8 kW
16343,11980,2,J1772,<8 kW
17169,11981,1,J1772,<8 kW
16345,11982,2,J1772,<8 kW
16346,11983,2,J1772,<8 kW
17172,11984,1,J1772,<8 kW
16348,11985,2,J1772,<8 kW
16349,11986,2,J1772,<8 kW
17175,11987,1,J1772,<8 kW
17176,11988,1,J1772,<8 kW
17177,11989,1,J1772,<8 kW
17188,12007,1,J1772,<8 kW
16364,12009,2,J1772,<8 kW
16365,12012,2,J1772,<8 kW
16366,12013,2,J1772,<8 kW
17192,12015,1,J1772,<8 kW
16368,12016,2,J1772,<8 kW
16369,12017,2,J1772,<8 kW
16370,12018,2,J1772,<8 kW
16371,12019,2,J1772,<8 kW
17197,12020,1,J1772,<8 kW
17198,12021,1,J1772,<8 kW
16374,12022,2,J1772,<8 kW
16375,12023,2,J1772,<8 kW
16376,12024,2,J1772,<8 kW
17202,12025,1,J1772,<8 kW
17203,12027,1,J1772,<8 kW
17204,12028,1,J1772,<8 kW
17205,12029,1,J1772,<8 kW
16393,12048,2,J1772,<8 kW
16394,12049,2,J1772,<8 kW
17276,12110,1,J1772,>8 kW
16359,12003,2,J1772,<8 kW
17245,12079,1,J1772,>8 kW
17246,12080,1,J1772,<8 kW
17247,12081,1,J1772,<8 kW
17248,12082,1,J1772,<8 kW
17249,12083,1,J1772,<8 kW
17409,12243,1,J1772,<8 kW
17410,12244,1,J1772,<8 kW
17411,12245,1,J1772,<8 kW
17412,12246,1,J1772,<8 kW
17413,12247,1,J1772,<8 kW
17414,12248,1,J1772,<8 kW
17366,12200,1,J1772,<8 kW
